,USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END,airport
18511,722480,13957,SHREVEPORT REGIONAL AIRPORT,US,LA,KSHV,32.446999999999996,-93.824,77.4,19730101,20181019,True
18516,722486,13942,MONROE REGIONAL AIRPORT,US,LA,KMLU,32.516,-92.041,24.1,19421001,20181019,True
18517,722487,13935,ESLER REGIONAL AIRPORT,US,LA,KESF,31.395,-92.291,36.0,19410701,20181019,True
18532,722510,12924,CORPUS CHRISTI  INTERNATIONAL AIRPORT,US,TX,KCRP,27.774,-97.512,13.4,19460801,20181020,True
18540,722520,12907,LAREDO INTERNATIONAL AIRPORT,US,TX,KLRD,27.533,-99.46700000000001,150.6,20081124,20181020,True
18553,722530,12921,SAN ANTONIO INTERNATIONAL AIRPORT,US,TX,KSAT,29.544,-98.484,240.5,19460814,20181020,True
18577,722550,12912,VICTORIA REGIONAL AIRPORT,US,TX,KVCT,28.861,-96.93,35.1,19411104,20181019,True
18587,722560,13959,WACO REGIONAL AIRPORT,US,TX,KACT,31.619,-97.228,152.4,19420514,20181019,True
18627,722610,22010,DEL RIO INTERNATIONAL AIRPORT,US,TX,KDRT,29.378,-100.927,304.5,19510501,20181020,True
18646,722650,23023,MIDLAND INTERNATIONAL AIRPORT,US,TX,KMAF,31.948,-102.209,872.3,19480201,20181020,True
18653,722660,13962,ABILENE REGIONAL AIRPORT,US,TX,KABI,32.411,-99.682,545.6,19460801,20181020,True
18655,722666,93943,BROWNWOOD REGIONAL AIRPORT,US,TX,KBWD,31.8,-98.95,419.7,20060101,20181019,True
18657,722670,23042,LUBBOCK INTERNATIONAL AIRPORT,US,TX,KLBB,33.666,-101.823,991.8,19450810,20181020,True
18675,722688,93034,LEA COUNTY REGIONAL AIRPORT,US,NM,KHOB,32.693000000000005,-103.213,1114.0,19421101,20181020,True
18690,722700,23044,EL PASO INTERNATIONAL AIRPORT,US,TX,KELP,31.811,-106.376,1194.2,19410401,20181019,True
18709,722740,23160,TUCSON INTERNATIONAL AIRPORT,US,AZ,KTUS,32.131,-110.955,776.9,19730101,20181019,True
18714,722747,93084,SAFFORD REGIONAL AIRPORT,US,AZ,KSAD,32.855,-109.635,968.0,20060101,20181019,True
18797,722900,23188,SAN DIEGO INTERNATIONAL AIRPORT,US,CA,KSAN,32.734,-117.18299999999999,4.6,19420101,20181019,True
18837,722950,23174,LOS ANGELES INTERNATIONAL AIRPORT,US,CA,KLAX,33.938,-118.389,29.6,19440101,20181019,True
18867,723010,3810,HICKORY REGIONAL AIRPORT,US,NC,KHKY,35.742,-81.382,358.1,20090101,20181019,True
18872,723020,13748,WILMINGTON INTERNATIONAL AIRPORT,US,NC,KILM,34.268,-77.9,10.1,20090101,20181019,True
18886,723046,13766,DARE COUNTY REGIONAL AIRPORT,US,NC,KMQI,35.917,-75.7,4.0,20060101,20181019,True
18914,723080,13737,NORFOLK INTERNATIONAL AIRPORT,US,VA,KORF,36.903,-76.192,9.1,19730101,20181019,True
18932,723098,93798,CULPEPER REGIONAL AIRPORT,US,VA,KCJR,38.527,-77.859,96.3,20060101,20181019,True
18941,723106,13744,FLORENCE REGIONAL AIRPORT,US,SC,KFLO,34.188,-79.73100000000001,44.5,19730101,20181019,True
18942,723107,371,SANTEE COOPER REGIONAL AIRPORT,US,SC,KMNI,33.586999999999996,-80.209,31.1,20090101,20181019,True
18984,723150,3812,ASHEVILLE REGIONAL AIRPORT,US,NC,KAVL,35.431999999999995,-82.538,645.3,19730101,20181020,True
18991,723170,13723,PIEDMONT TRIAD INTERNATIONAL AIRPORT,US,NC,KGSO,36.097,-79.943,271.3,19451101,20181019,True
19001,723190,93846,ANDERSON REGIONAL AIRPORT,US,SC,KAND,34.498000000000005,-82.71,231.7,20090101,20181019,True
